,形容詞,形容詞_cnt,動詞,動詞_cnt,名詞,名詞_cnt,接続詞,接続詞_cnt,形容詞,形容詞_cnt,動詞,動詞_cnt,名詞,名詞_cnt,接続詞,接続詞_cnt,形容詞,形容詞_cnt,動詞,動詞_cnt,名詞,名詞_cnt,接続詞,接続詞_cnt,形容詞,形容詞_cnt,動詞,動詞_cnt,名詞,名詞_cnt,接続詞,接続詞_cnt,形容詞,形容詞_cnt,動詞,動詞_cnt,名詞,名詞_cnt,接続詞,接続詞_cnt,形容詞,形容詞_cnt,動詞,動詞_cnt,名詞,名詞_cnt,接続詞,接続詞_cnt
0,強い,225.0,できる,1671,必要,977,そして,1625.0,高い,208.0,できる,1351,"*
",1004,そして,1479.0,高い,170.0,できる,1287,必要,872,そして,1346.0,強い,188.0,できる,1508,"*
",914,そして,1532.0,強い,202.0,できる,1736,必要,1099,そして,2292.0,厳しい,157.0,できる,1083,"*
",906,そして,1127.0
1,高い,175.0,進める,1048,国民,887,また,1371.0,大きい,163.0,進める,743,必要,840,また,1108.0,大きい,154.0,進める,667,国民,731,また,938.0,高い,172.0,進める,898,必要,889,また,1201.0,厳しい,172.0,進める,749,国民,915,また,1348.0,高い,156.0,進める,690,必要,630,また,856.0
2,厳しい,167.0,られる,719,お尋ね,792,あるいは,622.0,厳しい,155.0,られる,584,政府,694,しかし,536.0,厳しい,141.0,られる,595,答弁,659,しかし,597.0,厳しい,163.0,られる,706,国民,879,しかし,568.0,高い,165.0,言う,744,状況,701,しかし,808.0,強い,129.0,られる,522,政府,560,しかし,419.0
3,大きい,153.0,言う,653,政府,727,しかし,594.0,強い,141.0,言う,453,国民,689,あるいは,491.0,強い,131.0,言う,562,政府,618,そこで,441.0,大きい,137.0,得る,568,政府,623,あるいは,499.0,大きい,155.0,られる,742,政府,682,あるいは,692.0,大きい,119.0,言う,406,国民,551,あるいは,310.0
4,やすい,121.0,向ける,618,状況,666,そこで,424.0,新しい,131.0,取り組む,436,お尋ね,565,そこで,390.0,新しい,89.0,持つ,431,状況,543,あるいは,414.0,やすい,116.0,言う,497,お尋ね,614,例えば,411.0,やすい,148.0,守る,572,答弁,676,そこで,544.0,新しい,90.0,向ける,378,今後,490,例えば,281.0
5,新しい,108.0,持つ,570,重要,658,例えば,414.0,やすい,94.0,いたす,409,確保,562,例えば,347.0,やすい,88.0,守る,425,"*
",521,例えば,369.0,新しい,107.0,向ける,484,状況,562,そこで,403.0,早い,120.0,持つ,561,地域,624,例えば,505.0,早い,77.0,取り組む,361,お尋ね,465,そこで,277.0
6,多い,105.0,取り組む,542,問題,657,及び,237.0,早い,93.0,持つ,384,制度,543,及び,191.0,早い,79.0,得る,405,重要,518,つまり,269.0,早い,81.0,持つ,483,今後,536,及び,223.0,多い,95.0,得る,529,"*
",592,つまり,345.0,やすい,68.0,持つ,333,経済,459,かつ,162.0
7,早い,90.0,得る,488,"*
",657,かつ,195.0,多い,93.0,向ける,382,状況,522,かつ,172.0,難しい,77.0,いたす,378,指摘,474,及び,203.0,多い,79.0,守る,454,答弁,524,かつ,193.0,新しい,83.0,いたす,510,判断,591,及び,234.0,力強い,66.0,つくる,323,状況,425,及び,145.0
8,力強い,88.0,含める,480,今後,631,つまり,181.0,幅広い,64.0,つくる,361,支援,507,つまり,145.0,長い,74.0,取り組む,364,今後,455,かつ,194.0,力強い,61.0,いたす,428,対応,520,つまり,192.0,正しい,75.0,やる,451,重要,577,かつ,210.0,多い,62.0,いたす,316,確保,419,つまり,123.0
9,よい,76.0,いたす,460,経済,628,ただ,136.0,低い,64.0,含める,343,指摘,499,なお,107.0,多い,63.0,向ける,356,検討,449,そもそも,115.0,幅広い,59.0,取り組む,388,重要,506,そもそも,118.0,難しい,71.0,つくる,449,問題,575,そもそも,146.0,よい,58.0,得る,293,対応,406,まずは,93.0
10,低い,68.0,図る,398,地域,627,そもそも,135.0,正しい,63.0,得る,327,経済,484,一方,103.0,幅広い,53.0,含める,337,大臣,445,一方,113.0,難しい,58.0,含める,362,指摘,499,ただ,111.0,よい,65.0,含める,420,指摘,554,一方,145.0,幅広い,58.0,含める,291,実現,385,ただ,76.0
11,難しい,65.0,つくる,394,指摘,613,一方,128.0,良い,61.0,守る,323,今後,484,ただ,99.0,低い,52.0,やる,328,制度,442,ただ,112.0,よい,53.0,受ける,329,問題,489,まずは,110.0,力強い,52.0,いう,420,対応,533,ただ,134.0,低い,53.0,やる,259,制度,380,一方,74.0
12,幅広い,54.0,働く,383,支援,610,まずは,126.0,よい,57.0,見る,316,重要,482,そもそも,93.0,よい,50.0,踏まえる,310,確保,441,なお,86.0,にくい,49.0,つくる,319,確保,468,なお,90.0,低い,48.0,向ける,355,大臣,504,まずは,124.0,難しい,46.0,見る,259,重要,358,なお,72.0
13,広い,48.0,踏まえる,368,対応,603,なお,102.0,難しい,50.0,図る,301,答弁,441,まずは,77.0,力強い,48.0,つくる,288,お尋ね,432,まずは,82.0,低い,44.0,いう,293,判断,462,一方,83.0,にくい,47.0,取り組む,350,説明,479,だからこそ,71.0,正しい,39.0,踏まえる,235,米国,352,そもそも,59.0
14,正しい,47.0,やる,345,答弁,554,だからこそ,54.0,力強い,50.0,働く,290,地域,436,したがって,41.0,正しい,39.0,図る,261,対応,410,だからこそ,47.0,ふさわしい,41.0,図る,287,世界,457,したがって,55.0,長い,43.0,見る,349,方々,471,なお,70.0,粘り強い,36.0,示す,222,指摘,350,実は,47.0
15,良い,44.0,受ける,325,改革,529,実は,52.0,安い,44.0,やる,280,対応,431,だから,40.0,広い,36.0,受ける,260,方々,406,実は,47.0,長い,37.0,働く,262,米国,447,すなわち,49.0,良い,40.0,受ける,304,支援,459,だから,63.0,少ない,31.0,守る,190,世界,347,したがって,35.0
16,若い,33.0,守る,315,方々,523,したがって,44.0,長い,41.0,踏まえる,280,政策,429,でも,33.0,深い,31.0,いう,256,判断,397,だから,46.0,正しい,33.0,やる,262,経済,445,だからこそ,46.0,おかしい,39.0,出す,301,発言,456,実は,62.0,長い,29.0,いう,187,支援,339,だからこそ,26.0
17,よろしい,32.0,見る,304,判断,488,でも,43.0,広い,40.0,受ける,251,方々,420,実は,33.0,近い,29.0,いける,244,改革,390,でも,38.0,広い,33.0,踏まえる,249,要件,417,実は,45.0,幅広い,38.0,示す,283,事実,453,したがって,57.0,ふさわしい,26.0,目指す,184,政策,335,しかしながら,25.0
18,にくい,32.0,果たす,297,事実,488,だから,34.0,深い,35.0,目指す,230,大臣,395,だからこそ,27.0,おかしい,29.0,おく,241,経済,380,したがって,37.0,危うい,28.0,示す,247,地域,415,又は,33.0,若い,38.0,あり,280,今後,436,すなわち,52.0,広い,21.0,働く,183,答弁,328,でも,20.0
19,重い,31.0,目指す,296,確保,483,しかも,32.0,にくい,33.0,基づく,228,問題,382,又は,27.0,ふさわしい,28.0,見る,225,地域,373,すなわち,35.0,粘り強い,28.0,当たる,237,改革,412,だから,31.0,美しい,34.0,いける,277,確保,426,でも,47.0,重い,21.0,求める,177,企業,318,すなわち,18.0
20,ふさわしい,31.0,いう,272,制度,477,すなわち,25.0,弱い,32.0,上がる,223,実現,368,すなわち,20.0,短い,27.0,働く,225,問題,365,または,20.0,重い,26.0,あり,233,発言,405,でも,28.0,広い,34.0,踏まえる,268,自衛隊,419,又は,34.0,若い,19.0,図る,176,検討,314,だから,18.0
21,少ない,29.0,出す,251,責任,472,または,24.0,ふさわしい,31.0,おく,220,世界,357,それでも,19.0,よろしい,26.0,おっしゃる,215,考え方,360,ただし,19.0,よろしい,25.0,出す,230,説明,397,しかしながら,23.0,短い,33.0,図る,262,考え方,413,では,23.0,美しい,18.0,受ける,176,結果,309,または,15.0
22,長い,27.0,基づく,250,実現,468,しかしながら,22.0,おかしい,30.0,示す,212,企業,345,しかしながら,14.0,美しい,26.0,示す,203,事実,341,それで,19.0,若い,24.0,果たす,221,国会,397,しかも,21.0,よろしい,32.0,おく,258,政策,410,しかも,22.0,きめ細かい,18.0,出す,173,地域,297,しかも,15.0
23,美しい,26.0,示す,248,検討,464,では,18.0,若い,29.0,いう,203,皆さん,340,ただし,12.0,にくい,24.0,出る,200,結果,323,では,16.0,弱い,23.0,目指す,217,制度,393,それで,16.0,深い,30.0,基づく,255,経済,397,それで,20.0,深い,18.0,出る,168,対策,294,それで,12.0
24,深い,25.0,いける,241,政策,459,ちなみに,15.0,少ない,29.0,出す,188,改革,339,ちなみに,11.0,少ない,23.0,とる,191,支援,321,しかしながら,15.0,美しい,23.0,基づく,216,支援,377,では,15.0,うまい,30.0,出る,254,検討,396,じゃ,16.0,にくい,18.0,おく,165,問題,290,ただし,11.0
25,近い,25.0,出る,234,大臣,457,それで,14.0,重い,25.0,あり,188,地方,336,こうして,10.0,若い,23.0,基づく,186,皆さん,319,しかも,15.0,良い,22.0,見る,213,実現,369,ただし,14.0,ふさわしい,28.0,おっしゃる,246,要件,388,または,16.0,良い,17.0,当たる,153,課題,284,又は,10.0
26,短い,23.0,求める,230,課題,435,又は,13.0,美しい,25.0,果たす,186,説明,333,では,10.0,重い,20.0,出す,183,安全,305,又は,15.0,おいしい,22.0,おく,203,方々,363,ちなみに,13.0,安い,28.0,求める,243,活動,385,それでも,15.0,おかしい,17.0,基づく,151,皆さん,283,では,10.0
27,すばらしい,23.0,おっしゃる,226,世界,423,ただし,13.0,よろしい,24.0,出る,185,対策,332,それでは,9.0,悪い,19.0,あり,183,平和,297,それでは,11.0,近い,21.0,認める,201,自衛隊,361,それでも,13.0,重い,25.0,認める,227,結果,381,ちなみに,15.0,よろしい,17.0,おっしゃる,143,国会,278,ちなみに,10.0
28,悪い,22.0,上げる,216,地方,414,それでも,10.0,粘り強い,19.0,上げる,184,平成,330,しかも,8.0,良い,16.0,変わる,176,課題,295,それでも,9.0,悪い,19.0,いける,193,行使,344,よって,11.0,近い,25.0,上がる,224,米国,375,よって,14.0,小さい,16.0,果たす,142,大臣,274,ゆえに,8.0
29,弱い,22.0,おく,209,企業,412,じゃ,8.0,きめ細かい,16.0,いける,178,結果,329,それで,8.0,安い,15.0,入る,166,私たち,290,じゃ,8.0,やむを得ない,19.0,入る,180,理解,340,または,10.0,少ない,25.0,行く,219,制度,368,しかしながら,14.0,著しい,16.0,いける,139,方々,268,こうして,7.0
30,危うい,21.0,起こる,209,対策,393,よって,8.0,著しい,14.0,おっしゃる,168,検討,324,または,7.0,弱い,14.0,行く,166,実施,289,ちなみに,6.0,深い,18.0,出る,175,検討,340,じゃ,8.0,やむを得ない,25.0,上げる,216,行使,365,それから,13.0,悪い,16.0,とる,131,私たち,266,それでも,7.0
31,揺るぎない,20.0,当たる,209,米国,392,次に,7.0,近い,14.0,求める,157,事実,324,じゃ,5.0,著しい,13.0,かかわる,165,世界,289,ましてや,6.0,少ない,18.0,求める,172,平和,338,それでは,8.0,詳しい,22.0,当たる,215,企業,356,それでは,9.0,おいしい,15.0,上げる,131,改革,264,じゃ,6.0
32,おかしい,19.0,あり,201,結果,387,それでは,7.0,やむを得ない,14.0,入る,148,年度,317,次に,4.0,やむを得ない,13.0,認める,162,政策,287,それと,6.0,きめ細かい,16.0,変わる,171,政策,335,だからといって,5.0,弱い,20.0,入る,212,国会,347,こうして,9.0,痛い,14.0,変わる,131,判断,249,それでは,6.0
33,きめ細かい,18.0,行く,186,発言,384,ですから,7.0,悪い,14.0,当たる,147,判断,313,よって,4.0,詳しい,12.0,上げる,159,立場,287,よって,4.0,短い,15.0,知る,171,大臣,335,ゆえに,5.0,すばらしい,16.0,働く,210,交渉,346,ただし,9.0,短い,14.0,認める,126,交渉,245,ましてや,4.0
34,おいしい,17.0,述べる,184,皆さん,381,だからといって,6.0,おいしい,13.0,超える,146,私たち,311,ましてや,4.0,粘り強い,12.0,当たる,153,発言,286,だからといって,4.0,安い,14.0,聞く,168,結果,333,こうして,4.0,小さい,15.0,述べる,200,地方,343,だからといって,8.0,弱い,14.0,つながる,123,考え方,236,よって,4.0
35,粘り強い,16.0,とる,171,国会,369,ましてや,4.0,詳しい,13.0,ふえる,146,課題,301,それと,4.0,きめ細かい,11.0,求める,148,対策,282,こうして,4.0,すばらしい,14.0,おっしゃる,163,活動,333,ですから,4.0,危うい,15.0,進む,197,私たち,338,次に,7.0,注意深い,14.0,上がる,120,成長,236,さて,2.0
36,詳しい,16.0,かかわる,170,説明,367,ゆえに,4.0,短い,12.0,行く,140,整備,300,それから,4.0,うまい,11.0,立つ,147,交渉,282,ですから,3.0,詳しい,14.0,ござる,158,議員,331,それから,4.0,悪い,14.0,ござる,194,事態,338,さて,6.0,安い,13.0,述べる,118,発言,234,それと,2.0
37,安い,14.0,変える,170,議員,367,それから,4.0,望ましい,10.0,進む,139,強化,295,ゆえに,3.0,望ましい,10.0,述べる,145,米国,276,だって,3.0,温かい,12.0,進む,156,事態,325,それと,3.0,申し訳ない,12.0,しまう,193,皆さん,331,ですから,6.0,すばらしい,13.0,決める,117,整備,233,ところが,2.0
38,小さい,13.0,超える,168,強化,365,それに,4.0,うまい,9.0,認める,136,お答え,292,並びに,3.0,すばらしい,9.0,変える,140,考え,273,ところが,3.0,固い,11.0,続ける,154,対策,322,ましてや,3.0,ほしい,11.0,取る,192,課題,327,ゆえに,6.0,望ましい,13.0,あり,117,事実,233,ですから,2.0
39,激しい,12.0,もらう,168,考え,361,だって,4.0,ほしい,9.0,変わる,131,実施,289,ですから,2.0,揺るぎない,9.0,いただける,139,行使,269,そうして,3.0,おかしい,11.0,述べる,153,考え方,320,ところが,2.0,望ましい,11.0,果たす,186,北朝鮮,326,それと,5.0,明るい,11.0,聞く,115,考え,232,それから,1.0
40,明るい,12.0,聞く,164,全て,347,ところが,4.0,苦しい,9.0,ござる,130,年金,286,だって,2.0,厚い,9.0,上がる,137,国会,266,次に,3.0,明るい,11.0,超える,151,責任,318,次に,2.0,親しい,10.0,聞く,178,理解,326,それに,4.0,やむを得ない,8.0,続ける,114,承知,232,つまるところ,1.0
41,貧しい,11.0,決める,162,皆様,330,さて,3.0,言うまでもない,8.0,立つ,130,国会,283,そうすると,2.0,難い,7.0,させる,136,承知,260,それから,2.0,望ましい,10.0,上げる,145,皆さん,312,だって,1.0,すごい,10.0,与える,169,世界,324,だって,4.0,近い,8.0,超える,108,平成,231,ですが,1.0
42,望ましい,9.0,続ける,161,年度,327,それと,3.0,すごい,8.0,つながる,129,考え方,273,さて,2.0,麗しい,7.0,目指す,132,実現,260,ゆえに,2.0,著しい,9.0,決める,143,措置,311,ですが,1.0,著しい,9.0,変える,169,責任,320,ましてや,4.0,うまい,8.0,ふえる,108,説明,223,だって,1.0
43,がたい,9.0,違う,154,整備,325,こうして,3.0,危うい,7.0,いただける,121,考え,264,ところが,2.0,がたい,7.0,与える,130,活動,255,さて,2.0,がたい,9.0,いただける,139,事実,307,若しくは,1.0,揺るぎない,9.0,変わる,168,平和,320,そうすると,3.0,温かい,8.0,いただける,104,社会保障,219,次に,1.0
44,ほしい,9.0,進む,150,努力,321,でなければ,2.0,痛い,7.0,しまう,120,発言,263,それだけに,2.0,すごい,7.0,果たす,128,説明,254,そうしたら,2.0,乏しい,8.0,もらう,138,整備,303,けれども,1.0,明るい,8.0,違う,166,考え,313,ところが,2.0,固い,7.0,立つ,103,全て,218,それどころか,1.0
45,かたい,9.0,立つ,148,平成,321,若しくは,2.0,厚い,7.0,述べる,114,法案,262,そうして,1.0,つらい,6.0,起こる,127,観点,254,でなければ,1.0,激しい,8.0,行く,132,武力攻撃,291,それどころか,1.0,きめ細かい,8.0,起こる,166,質問,308,並びに,2.0,手厚い,7.0,入る,100,理解,216,それとも,1.0
46,温かい,9.0,生かす,148,実施,314,ついては,1.0,細かい,6.0,続ける,114,交渉,259,すると,1.0,おいしい,6.0,呼ぶ,127,お答え,249,というのも,1.0,難い,8.0,変える,131,考え,287,それとも,1.0,難い,8.0,目指す,162,実施,303,というのも,2.0,言うまでもない,7.0,させる,97,現在,214,だからといって,1.0
47,数多い,8.0,ござる,148,改善,313,ですが,1.0,激しい,6.0,応じる,114,質問,256,というのも,1.0,重たい,5.0,挙げる,123,平成,246,そうすると,1.0,ほしい,8.0,起こる,129,強化,287,そうして,1.0,粘り強い,8.0,いただける,160,全て,301,若しくは,1.0,詳しい,7.0,引き続く,96,観点,213,次いで,1.0
48,乏しい,8.0,入る,142,考え方,308,それどころか,1.0,明るい,6.0,講じる,114,承知,255,だからといって,1.0,乏しい,5.0,聞く,123,自衛隊,244,ついては,1.0,忙しい,7.0,しまう,128,企業,285,それに,1.0,言うまでもない,8.0,決める,159,安定,299,けれども,1.0,痛ましい,6.0,かかわる,95,年度,213,それに,1.0
49,著しい,8.0,変わる,142,環境,306,次いで,1.0,がたい,5.0,与える,113,責任,250,ついては,1.0,忙しい,5.0,違う,122,認識,243,それだけに,1.0,小さい,7.0,立つ,128,課題,280,じゃあ,1.0,悲しい,7.0,使う,150,措置,299,ついては,1.0,うれしい,6.0,進む,92,地方,211,,
50,言うまでもない,7.0,いただける,138,理解,305,それなら,1.0,尊い,5.0,至る,109,観点,250,,,小さい,5.0,進む,120,年度,239,次いで,1.0,手厚い,7.0,かかわる,128,集団的自衛権,279,,,うれしい,7.0,超える,149,皆様,298,それだけに,1.0,がたい,6.0,変える,91,実施,207,,
51,とうとい,7.0,上がる,138,観点,304,というのも,1.0,小さい,5.0,とる,109,ルール,245,,,有り難い,4.0,しまう,120,質問,238,追って,1.0,いち早い,7.0,違う,126,法案,277,,,手厚い,7.0,とる,149,承知,296,それなのに,1.0,乏しい,6.0,行く,89,北朝鮮,206,,
52,うまい,7.0,つながる,137,私たち,304,そうして,1.0,すばらしい,5.0,聞く,101,理解,241,,,固い,4.0,決める,119,影響,235,だけれども,1.0,揺るぎない,7.0,至る,125,お答え,276,,,厚い,7.0,分かる,146,認識,294,でなければ,1.0,数多い,6.0,なす,88,年金,205,,
53,親しい,7.0,引き続く,137,お答え,303,,,うるさい,4.0,始める,100,環境,241,,,貧しい,4.0,ござる,116,責任,233,なかんずく,1.0,ひどい,7.0,つながる,124,環境,273,,,怖い,7.0,立つ,144,意味,292,,,尊い,5.0,しまう,87,認識,204,,
54,厚い,7.0,しまう,137,承知,303,,,申し訳ない,4.0,取る,99,昨年,240,,,古い,4.0,含む,112,理解,232,それなのに,1.0,うまい,6.0,とる,123,承知,271,,,古い,7.0,呼ぶ,144,武力攻撃,289,,,貧しい,5.0,もらう,87,改善,204,,
55,手厚い,7.0,知る,134,安定,302,,,かたい,4.0,違う,99,成長,240,,,うるさい,4.0,つながる,110,企業,232,,,尊い,6.0,取る,121,努力,270,,,うるさい,7.0,もらう,143,大切,284,,,危うい,5.0,取る,87,ルール,198,,
56,うるさい,7.0,尽くす,132,情報,289,,,きつい,4.0,努める,99,措置,239,,,明るい,4.0,超える,110,岩場,231,,,厚い,6.0,なす,120,私たち,269,,,貧しい,7.0,つながる,142,環境,282,,,すごい,5.0,ござる,87,議員,192,,
57,ひどい,7.0,応じる,131,社会,286,,,手厚い,4.0,なす,95,米国,234,,,激しい,4.0,使う,103,事態,228,,,言うまでもない,6.0,挙げる,119,実施,267,,,優しい,6.0,かかわる,139,議員,282,,,揺るぎない,5.0,応じる,86,責任,191,,
58,重たい,6.0,させる,127,法案,285,,,難い,4.0,起こる,95,安定,234,,,物すごい,4.0,なす,101,現在,227,,,数多い,6.0,尽くす,117,質問,266,,,細かい,6.0,至る,138,お答え,279,,,かたい,4.0,引き上げる,85,強化,191,,
59,痛ましい,6.0,努める,123,意味,283,,,うれしい,4.0,変える,95,社会保障,230,,,細かい,4.0,書く,99,努力,227,,,古い,5.0,与える,115,観点,261,,,速い,6.0,来る,132,お尋ね,277,,,細かい,4.0,講じる,81,いずれ,189,,
60,やむを得ない,6.0,わかる,123,認識,282,,,温かい,4.0,重ねる,94,現在,228,,,痛ましい,3.0,答える,98,可能,224,,,細かい,5.0,含む,111,全て,259,,,温かい,6.0,入れる,132,憲法,276,,,甘い,4.0,呼ぶ,79,負担,188,,
61,うれしい,6.0,なす,121,農業,280,,,悲しい,4.0,加える,94,改善,228,,,甘い,3.0,続ける,98,全て,224,,,うるさい,5.0,上がる,107,皆様,256,,,尊い,5.0,書く,127,実現,275,,,ひどい,4.0,与える,78,社会,187,,
62,すごい,6.0,認める,117,質問,279,,,優しい,4.0,決める,93,推進,227,,,心強い,3.0,引き続く,96,年金,222,,,かたい,5.0,答える,106,意味,256,,,つらい,5.0,挙げる,126,デフレ,271,,,弱々しい,4.0,生かす,78,環境,184,,
63,忙しい,6.0,ふえる,114,推進,278,,,固い,3.0,かかわる,93,年間,225,,,遠い,3.0,もらう,95,要件,216,,,痛ましい,4.0,繰り返す,104,年度,253,,,有り難い,5.0,なす,124,強化,270,,,厚い,4.0,つくり出す,78,努力,181,,
64,難い,5.0,挙げる,112,大切,277,,,等しい,3.0,含む,90,議員,224,,,とうとい,3.0,ふえる,92,安定,215,,,軽い,4.0,応じる,102,交渉,253,,,激しい,5.0,知る,123,観点,266,,,難い,4.0,努める,77,自由,178,,
65,固い,5.0,応える,109,予算,276,,,遠い,3.0,入れる,90,大切,224,,,しつこい,3.0,加える,90,憲法,215,,,注意深い,4.0,引き続く,102,国際社会,248,,,物すごい,5.0,続ける,122,現在,265,,,いち早い,4.0,取りまとめる,77,安定,174,,
66,暗い,5.0,答える,106,全体,271,,,余儀ない,3.0,引き上げる,89,目標,224,,,ありがたい,3.0,わかる,88,社会保障,214,,,底堅い,4.0,関わる,98,平成,244,,,苦しい,5.0,続く,120,集団的自衛権,264,,,とうとい,3.0,違う,76,全体,174,,
67,痛い,5.0,しれる,105,立場,266,,,つらい,3.0,続く,88,いずれ,223,,,ほしい,3.0,入れる,85,法案,214,,,痛い,4.0,させる,96,認識,243,,,遠い,5.0,応じる,116,段階,263,,,ひとしい,3.0,入れる,72,大切,173,,
68,速い,5.0,含む,104,社会保障,266,,,痛ましい,3.0,呼ぶ,88,皆様,222,,,遅い,3.0,高める,82,いずれ,214,,,親しい,4.0,加える,92,連携,242,,,余儀ない,4.0,含む,109,成長,257,,,好ましい,3.0,挙げる,71,拡大,172,,
69,有り難い,5.0,関わる,102,成長,265,,,喜ばしい,3.0,増える,88,予算,218,,,危うい,3.0,下がる,78,措置,211,,,とうとい,3.0,わかる,92,自由,242,,,固い,4.0,関わる,109,大変,256,,,激しい,3.0,至る,71,質問,171,,
70,遅い,4.0,続く,101,大変,265,,,怖い,3.0,合わせる,87,負担,217,,,うれしい,3.0,置く,74,調査,207,,,遅い,3.0,重ねる,91,いずれ,239,,,かたい,4.0,生かす,108,努力,255,,,目覚ましい,3.0,含む,70,予算,170,,
71,尊い,4.0,至る,100,雇用,264,,,物すごい,3.0,下がる,87,消費税,217,,,うい,3.0,始める,72,議員,204,,,速い,3.0,会う,91,発生,238,,,暗い,4.0,答える,108,お話,254,,,底堅い,3.0,始める,70,安倍政権,169,,
72,汚い,4.0,始める,100,現在,264,,,揺るぎない,3.0,もらう,86,デフレ,215,,,注意深い,2.0,尽くす,71,強化,203,,,優しい,3.0,努める,90,現在,237,,,痛ましい,4.0,重ねる,108,十分,252,,,遅い,2.0,増える,70,措置,169,,
73,底堅い,4.0,引き上げる,99,いずれ,261,,,幼い,3.0,使う,86,農業,214,,,申し訳ない,2.0,重ねる,71,全体,203,,,つらい,3.0,応える,90,憲法,233,,,がたい,4.0,させる,107,改革,249,,,軽い,2.0,尽くす,64,復興,168,,
74,細かい,4.0,使う,99,取り組み,258,,,毛頭ない,2.0,知る,83,適切,211,,,くい,2.0,応じる,70,環境,202,,,そぐわない,3.0,呼ぶ,87,協力,232,,,おいしい,4.0,ふえる,104,立場,249,,,重たい,2.0,応える,64,十分,167,,
75,いち早い,4.0,加える,98,昨年,255,,,乏しい,2.0,答える,83,憲法,209,,,目覚ましい,2.0,定める,70,大切,198,,,極まりない,3.0,脅かす,87,農業,230,,,重たい,3.0,下がる,104,派遣,244,,,うるさい,2.0,下がる,62,女性,166,,
76,申し訳ない,4.0,講じる,95,全力,254,,,しつこい,2.0,生かす,82,努力,206,,,苦しい,2.0,努める,69,基本,195,,,幼い,3.0,限る,86,改善,229,,,狭い,3.0,増える,103,発生,243,,,あまねい,2.0,合わせる,62,適切,165,,
77,恥ずかしい,4.0,重ねる,95,調査,252,,,浅い,2.0,させる,77,大変,203,,,もったいない,2.0,期す,67,皆様,194,,,寒い,3.0,生かす,84,立場,221,,,恥ずかしい,3.0,しれる,103,いずれ,239,,,みずみずしい,2.0,生み出す,60,年間,165,,
78,狭い,3.0,定める,91,目標,250,,,ありがたい,2.0,引き続く,77,影響,202,,,余儀ない,2.0,続く,67,十分,193,,,目覚ましい,3.0,来る,84,安定,219,,,ひどい,3.0,始める,102,影響,238,,,おどろおどろしい,2.0,起こる,59,目標,165,,
79,つらい,3.0,与える,91,措置,250,,,暖かい,2.0,高める,77,介護,199,,,言うまでもない,2.0,引き上げる,67,大変,192,,,ありがたい,2.0,満たす,84,段階,217,,,とうとい,2.0,加える,102,安全,233,,,暗い,2.0,開く,59,デフレ,163,,
80,怪しい,3.0,合わせる,91,北朝鮮,240,,,有り難い,2.0,つくり出す,76,全て,198,,,痛い,2.0,限る,67,整備,190,,,うれしい,2.0,増える,82,全体,214,,,若々しい,2.0,限る,94,連携,231,,,ありがたい,2.0,差し控える,59,投資,157,,
81,苦しい,3.0,書く,90,復興,235,,,輝かしい,2.0,支える,75,社会,198,,,づらい,2.0,講じる,66,北朝鮮,184,,,麗しい,2.0,書く,82,十分,212,,,毛頭ない,2.0,繰り返す,93,平成,229,,,忙しい,2.0,加える,58,お答え,155,,
